Tarih;Saat;Event ID;Kullanıcı;IP Adresi;Durum;Risk Seviyesi;Tespit Nedeni
2026-08-26;14:53:47;4634 (Oturum Kapatıldı);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:47;4634 (Oturum Kapatıldı);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:47;4672 (Özel Yetki (Admin) Kullanıldı);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:47;4624 (Başarılı Oturum Açma);Beyza;127.0.0.1;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:47;4624 (Başarılı Oturum Açma);Beyza;127.0.0.1;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:47;4648 (Standart Sistem İşlemi);Beyza;127.0.0.1;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:46;4798 (Standart Sistem İşlemi);DESKTOP-ATUSUMA$;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:44;4625 (Hatalı Şifre Denemesi);Beyza;127.0.0.1;Bilgi;☠️ FATAL;Kural 1: Brute Force İhtimali (3. Deneme)
2026-08-26;14:53:43;4625 (Hatalı Şifre Denemesi);Beyza;127.0.0.1;Bilgi;🟡 Medium;Kural 2: Başarısız Giriş (2. Deneme)
2026-08-26;14:53:41;4625 (Hatalı Şifre Denemesi);Beyza;127.0.0.1;Bilgi;🟡 Medium;Kural 2: Başarısız Giriş (1. Deneme)
2026-08-26;14:53:39;4798 (Standart Sistem İşlemi);DESKTOP-ATUSUMA$;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:37;4672 (Özel Yetki (Admin) Kullanıldı);System;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:37;4624 (Başarılı Oturum Açma);DESKTOP-ATUSUMA$;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:25;4798 (Standart Sistem İşlemi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:04;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:04;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:04;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:04;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:04;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:04;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:04;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:04;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:04;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:04;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:04;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:04;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:04;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:04;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:04;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:04;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:04;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:04;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:03;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:03;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:03;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:03;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:03;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:03;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:03;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:03;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:03;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:03;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:03;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:03;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:03;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:03;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:03;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:03;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
2026-08-26;14:53:03;5379 (Kayıtlı Şifrelere Erişildi);Beyza;-;Bilgi;🟢 Low;Normal Aktivite
